,Date,Emotion,Valence
54,2021_02_14,fear,0.6046511627906976
55,2021_02_14,sadness,0.5813953488372093
56,2021_02_15,anger,0.42424242424242425
57,2021_02_15,disgust,0.30303030303030304
58,2021_02_15,fear,0.9090909090909091
59,2021_02_15,sadness,0.5909090909090909
60,2021_02_16,anger,0.42857142857142855
61,2021_02_16,disgust,0.2619047619047619
62,2021_02_16,fear,0.6547619047619048
63,2021_02_16,sadness,0.4523809523809524
64,2021_02_17,anger,0.3625
65,2021_02_17,disgust,0.3125
66,2021_02_17,fear,0.6125
67,2021_02_17,sadness,0.4375
68,2021_02_18,anger,0.2604166666666667
69,2021_02_18,disgust,0.11458333333333333
70,2021_02_18,fear,0.3645833333333333
71,2021_02_18,sadness,0.28125
72,2021_02_19,anger,0.5
73,2021_02_19,disgust,0.358974358974359
74,2021_02_19,fear,0.8846153846153846
75,2021_02_19,sadness,0.6025641025641025
76,2021_02_20,anger,0.4576271186440678
77,2021_02_20,disgust,0.3389830508474576
78,2021_02_20,fear,0.7796610169491526
79,2021_02_20,sadness,0.576271186440678
80,2021_02_21,anger,0.34375
81,2021_02_21,disgust,0.203125
82,2021_02_21,fear,0.640625
83,2021_02_21,sadness,0.359375
84,2021_02_22,anger,0.4807692307692308
85,2021_02_22,disgust,0.34615384615384615
86,2021_02_22,fear,0.7307692307692307
87,2021_02_22,sadness,0.5961538461538461
88,2021_02_23,anger,0.4583333333333333
89,2021_02_23,disgust,0.3333333333333333
90,2021_02_23,fear,0.7708333333333334
91,2021_02_23,sadness,0.4375
92,2021_02_24,anger,0.27941176470588236
93,2021_02_24,disgust,0.14705882352941177
94,2021_02_24,fear,0.5294117647058824
95,2021_02_24,sadness,0.35294117647058826
96,2021_02_25,anger,0.3870967741935484
97,2021_02_25,disgust,0.2903225806451613
98,2021_02_25,fear,0.5806451612903226
99,2021_02_25,sadness,0.6129032258064516
100,2021_02_26,anger,0.3888888888888889
101,2021_02_26,disgust,0.25
102,2021_02_26,fear,0.4722222222222222
103,2021_02_26,sadness,0.3333333333333333
104,2021_02_27,anger,0.3157894736842105
105,2021_02_27,disgust,0.21052631578947367
106,2021_02_27,fear,0.47368421052631576
107,2021_02_27,sadness,0.3157894736842105
108,2021_02_28,anger,0.3888888888888889
109,2021_02_28,disgust,0.3611111111111111
110,2021_02_28,fear,0.7638888888888888
111,2021_02_28,sadness,0.5
112,2021_03_01,anger,0.4745762711864407
113,2021_03_01,disgust,0.3050847457627119
114,2021_03_01,fear,0.6779661016949152
115,2021_03_01,sadness,0.5423728813559322
116,2021_03_02,anger,0.36923076923076925
117,2021_03_02,disgust,0.3230769230769231
118,2021_03_02,fear,0.6461538461538462
119,2021_03_02,sadness,0.46153846153846156
120,2021_03_03,anger,0.5
121,2021_03_03,disgust,0.32142857142857145
122,2021_03_03,fear,0.7678571428571429
123,2021_03_03,sadness,0.6071428571428571
124,2021_03_04,anger,0.4782608695652174
125,2021_03_04,disgust,0.3695652173913043
126,2021_03_04,fear,0.5869565217391305
127,2021_03_04,sadness,0.5217391304347826
128,2021_03_05,anger,0.35
129,2021_03_05,disgust,0.2
130,2021_03_05,fear,0.4
131,2021_03_05,sadness,0.225
132,2021_03_06,anger,0.38181818181818183
133,2021_03_06,disgust,0.23636363636363636
134,2021_03_06,fear,0.5272727272727272
135,2021_03_06,sadness,0.2545454545454545
136,2021_03_07,anger,0.4117647058823529
137,2021_03_07,disgust,0.20588235294117646
138,2021_03_07,fear,0.5882352941176471
139,2021_03_07,sadness,0.38235294117647056
140,2021_03_08,anger,0.25
141,2021_03_08,disgust,0.16071428571428573
142,2021_03_08,fear,0.6964285714285714
143,2021_03_08,sadness,0.4107142857142857
144,2021_03_09,anger,0.19736842105263158
145,2021_03_09,disgust,0.19736842105263158
146,2021_03_09,fear,0.5657894736842105
147,2021_03_09,sadness,0.42105263157894735
148,2021_03_10,anger,0.3684210526315789
149,2021_03_10,disgust,0.21052631578947367
150,2021_03_10,fear,0.43859649122807015
151,2021_03_10,sadness,0.42105263157894735
152,2021_03_11,anger,0.32
153,2021_03_11,disgust,0.24
154,2021_03_11,fear,0.52
155,2021_03_11,sadness,0.5
156,2021_03_12,anger,0.39655172413793105
157,2021_03_12,disgust,0.25862068965517243
158,2021_03_12,fear,0.603448275862069
159,2021_03_12,sadness,0.6724137931034483
160,2021_03_13,anger,0.35
161,2021_03_13,disgust,0.225
162,2021_03_13,fear,0.8
163,2021_03_13,sadness,0.55
164,2021_03_14,anger,0.3333333333333333
165,2021_03_14,disgust,0.23333333333333334
166,2021_03_14,fear,0.38333333333333336
167,2021_03_14,sadness,0.43333333333333335
168,2021_03_15,anger,0.4050632911392405
169,2021_03_15,disgust,0.21518987341772153
170,2021_03_15,fear,0.620253164556962
171,2021_03_15,sadness,0.3670886075949367
172,2021_03_16,anger,0.423728813559322
173,2021_03_16,disgust,0.3220338983050847
174,2021_03_16,fear,0.6271186440677966
175,2021_03_16,sadness,0.4745762711864407
176,2021_03_17,anger,0.4074074074074074
177,2021_03_17,disgust,0.2777777777777778
178,2021_03_17,fear,0.8703703703703703
179,2021_03_17,sadness,0.46296296296296297
180,2021_03_18,anger,0.24074074074074073
181,2021_03_18,disgust,0.14814814814814814
182,2021_03_18,fear,0.48148148148148145
183,2021_03_18,sadness,0.2962962962962963
184,2021_03_19,anger,0.359375
185,2021_03_19,disgust,0.203125
186,2021_03_19,fear,0.515625
187,2021_03_19,sadness,0.4375
188,2021_03_20,anger,0.4473684210526316
189,2021_03_20,disgust,0.34210526315789475
190,2021_03_20,fear,0.6578947368421053
191,2021_03_20,sadness,0.6578947368421053
192,2021_03_21,anger,0.5208333333333334
193,2021_03_21,disgust,0.3333333333333333
194,2021_03_21,fear,0.9375
195,2021_03_21,sadness,0.5416666666666666
196,2021_03_22,anger,0.38636363636363635
197,2021_03_22,disgust,0.20454545454545456
198,2021_03_22,fear,0.5681818181818182
199,2021_03_22,sadness,0.4318181818181818
200,2021_03_23,anger,0.18604651162790697
201,2021_03_23,disgust,0.20930232558139536
202,2021_03_23,fear,0.4418604651162791
203,2021_03_23,sadness,0.4186046511627907
204,2021_03_24,anger,0.30612244897959184
205,2021_03_24,disgust,0.16326530612244897
206,2021_03_24,fear,0.42857142857142855
207,2021_03_24,sadness,0.4489795918367347
208,2021_03_25,anger,0.28888888888888886
209,2021_03_25,disgust,0.17777777777777778
210,2021_03_25,fear,0.4888888888888889
211,2021_03_25,sadness,0.4222222222222222
212,2021_03_26,anger,0.40540540540540543
213,2021_03_26,disgust,0.24324324324324326
214,2021_03_26,fear,0.5405405405405406
215,2021_03_26,sadness,0.40540540540540543
216,2021_03_27,anger,0.5806451612903226
217,2021_03_27,disgust,0.41935483870967744
218,2021_03_27,fear,1.0
219,2021_03_27,sadness,0.6451612903225806
220,2021_03_28,anger,0.1951219512195122
221,2021_03_28,disgust,0.12195121951219512
222,2021_03_28,fear,0.3902439024390244
223,2021_03_28,sadness,0.36585365853658536
224,2021_03_29,anger,0.32653061224489793
225,2021_03_29,disgust,0.2857142857142857
226,2021_03_29,fear,0.7551020408163265
227,2021_03_29,sadness,0.5102040816326531
228,2021_03_30,anger,0.42857142857142855
229,2021_03_30,disgust,0.35714285714285715
230,2021_03_30,fear,0.7142857142857143
231,2021_03_30,sadness,0.5
232,2021_03_31,anger,0.32075471698113206
233,2021_03_31,disgust,0.3018867924528302
234,2021_03_31,fear,0.49056603773584906
235,2021_03_31,sadness,0.39622641509433965
236,2021_04_01,anger,0.20689655172413793
237,2021_04_01,disgust,0.1724137931034483
238,2021_04_01,fear,0.5
239,2021_04_01,sadness,0.4482758620689655
240,2021_04_02,anger,0.3617021276595745
241,2021_04_02,disgust,0.3404255319148936
242,2021_04_02,fear,0.574468085106383
243,2021_04_02,sadness,0.5319148936170213
244,2021_04_03,anger,0.29310344827586204
245,2021_04_03,disgust,0.25862068965517243
246,2021_04_03,fear,0.46551724137931033
247,2021_04_03,sadness,0.4482758620689655
248,2021_04_04,anger,0.5714285714285714
249,2021_04_04,disgust,0.3469387755102041
250,2021_04_04,fear,0.6122448979591837
251,2021_04_04,sadness,0.673469387755102
252,2021_04_05,anger,0.4642857142857143
253,2021_04_05,disgust,0.375
254,2021_04_05,fear,0.6428571428571429
255,2021_04_05,sadness,0.5714285714285714
256,2021_04_06,anger,0.44642857142857145
257,2021_04_06,disgust,0.2857142857142857
258,2021_04_06,fear,0.6607142857142857
259,2021_04_06,sadness,0.5
260,2021_04_07,anger,0.35064935064935066
261,2021_04_07,disgust,0.2987012987012987
262,2021_04_07,fear,0.5714285714285714
263,2021_04_07,sadness,0.35064935064935066
264,2021_04_08,anger,0.5
265,2021_04_08,disgust,0.27419354838709675
266,2021_04_08,fear,0.8225806451612904
267,2021_04_08,sadness,0.5967741935483871
268,2021_04_09,anger,0.4626865671641791
269,2021_04_09,disgust,0.2835820895522388
270,2021_04_09,fear,0.5522388059701493
271,2021_04_09,sadness,0.6417910447761194
272,2021_04_10,anger,0.4691358024691358
273,2021_04_10,disgust,0.2716049382716049
274,2021_04_10,fear,0.7407407407407407
275,2021_04_10,sadness,0.5061728395061729
276,2021_04_11,anger,0.47368421052631576
277,2021_04_11,disgust,0.2894736842105263
278,2021_04_11,fear,0.6973684210526315
279,2021_04_11,sadness,0.5789473684210527
280,2021_04_12,anger,0.37209302325581395
281,2021_04_12,disgust,0.3488372093023256
282,2021_04_12,fear,0.5465116279069767
283,2021_04_12,sadness,0.36046511627906974
284,2021_04_13,anger,0.36153846153846153
285,2021_04_13,disgust,0.2
286,2021_04_13,fear,0.5923076923076923
287,2021_04_13,sadness,0.4153846153846154
288,2021_04_14,anger,0.24561403508771928
289,2021_04_14,disgust,0.21052631578947367
290,2021_04_14,fear,0.47368421052631576
291,2021_04_14,sadness,0.2982456140350877
292,2021_04_15,anger,0.5866666666666667
293,2021_04_15,disgust,0.38666666666666666
294,2021_04_15,fear,0.7333333333333333
295,2021_04_15,sadness,0.6533333333333333
296,2021_04_16,anger,0.4
297,2021_04_16,disgust,0.26
298,2021_04_16,fear,0.58
299,2021_04_16,sadness,0.52
300,2021_04_17,anger,0.38636363636363635
301,2021_04_17,disgust,0.2727272727272727
302,2021_04_17,fear,0.5227272727272727
303,2021_04_17,sadness,0.6363636363636364
304,2021_04_18,anger,0.34375
305,2021_04_18,disgust,0.1875
306,2021_04_18,fear,0.578125
307,2021_04_18,sadness,0.46875
308,2021_04_19,anger,0.43820224719101125
309,2021_04_19,disgust,0.3146067415730337
310,2021_04_19,fear,0.7303370786516854
311,2021_04_19,sadness,0.5730337078651685
312,2021_04_20,anger,0.29411764705882354
313,2021_04_20,disgust,0.2
314,2021_04_20,fear,0.5294117647058824
315,2021_04_20,sadness,0.4
316,2021_04_21,anger,0.43373493975903615
317,2021_04_21,disgust,0.2891566265060241
318,2021_04_21,fear,0.5542168674698795
319,2021_04_21,sadness,0.5783132530120482
320,2021_04_22,anger,0.4153846153846154
321,2021_04_22,disgust,0.23076923076923078
322,2021_04_22,fear,0.6307692307692307
323,2021_04_22,sadness,0.4307692307692308
324,2021_04_23,anger,0.25
325,2021_04_23,disgust,0.26136363636363635
326,2021_04_23,fear,0.625
327,2021_04_23,sadness,0.4659090909090909
328,2021_04_24,anger,0.4
329,2021_04_24,disgust,0.2909090909090909
330,2021_04_24,fear,0.7636363636363637
331,2021_04_24,sadness,0.5636363636363636
332,2021_04_25,anger,0.45161290322580644
333,2021_04_25,disgust,0.4032258064516129
334,2021_04_25,fear,0.8548387096774194
335,2021_04_25,sadness,0.5967741935483871
336,2021_04_26,anger,0.4146341463414634
337,2021_04_26,disgust,0.2926829268292683
338,2021_04_26,fear,0.5975609756097561
339,2021_04_26,sadness,0.5121951219512195
340,2021_04_27,anger,0.26136363636363635
341,2021_04_27,disgust,0.18181818181818182
342,2021_04_27,fear,0.5340909090909091
343,2021_04_27,sadness,0.3068181818181818
344,2021_04_28,anger,0.26548672566371684
345,2021_04_28,disgust,0.24778761061946902
346,2021_04_28,fear,0.5486725663716814
347,2021_04_28,sadness,0.34513274336283184
348,2021_04_29,anger,0.3581081081081081
349,2021_04_29,disgust,0.25675675675675674
350,2021_04_29,fear,0.6216216216216216
351,2021_04_29,sadness,0.42567567567567566
352,2021_04_30,anger,0.2962962962962963
353,2021_04_30,disgust,0.24691358024691357
354,2021_04_30,fear,0.5925925925925926
355,2021_04_30,sadness,0.4691358024691358
356,2021_05_01,anger,0.4126984126984127
357,2021_05_01,disgust,0.36507936507936506
358,2021_05_01,fear,0.6507936507936508
359,2021_05_01,sadness,0.5396825396825397
360,2021_05_02,anger,0.23529411764705882
361,2021_05_02,disgust,0.14705882352941177
362,2021_05_02,fear,0.47058823529411764
363,2021_05_02,sadness,0.3382352941176471
364,2021_05_03,anger,0.43478260869565216
365,2021_05_03,disgust,0.43478260869565216
366,2021_05_03,fear,1.0
367,2021_05_03,sadness,0.5507246376811594
368,2021_05_04,anger,0.3050847457627119
369,2021_05_04,disgust,0.22033898305084745
370,2021_05_04,fear,0.559322033898305
371,2021_05_04,sadness,0.3728813559322034
372,2021_05_05,anger,0.32978723404255317
373,2021_05_05,disgust,0.2765957446808511
374,2021_05_05,fear,0.5957446808510638
375,2021_05_05,sadness,0.46808510638297873
376,2021_05_06,anger,0.3937007874015748
377,2021_05_06,disgust,0.2283464566929134
378,2021_05_06,fear,0.5748031496062992
379,2021_05_06,sadness,0.49606299212598426
380,2021_05_07,anger,0.2857142857142857
381,2021_05_07,disgust,0.13186813186813187
382,2021_05_07,fear,0.5494505494505495
383,2021_05_07,sadness,0.5604395604395604
384,2021_05_08,anger,0.38524590163934425
385,2021_05_08,disgust,0.22950819672131148
386,2021_05_08,fear,0.5245901639344263
387,2021_05_08,sadness,0.4426229508196721
388,2021_05_09,anger,0.45555555555555555
389,2021_05_09,disgust,0.28888888888888886
390,2021_05_09,fear,0.7222222222222222
391,2021_05_09,sadness,0.4777777777777778
392,2021_05_10,anger,0.2878787878787879
393,2021_05_10,disgust,0.13636363636363635
394,2021_05_10,fear,0.4393939393939394
395,2021_05_10,sadness,0.32575757575757575
396,2021_05_11,anger,0.3508771929824561
397,2021_05_11,disgust,0.20175438596491227
398,2021_05_11,fear,0.6754385964912281
399,2021_05_11,sadness,0.40350877192982454
400,2021_05_12,anger,0.44545454545454544
401,2021_05_12,disgust,0.20909090909090908
402,2021_05_12,fear,0.6
403,2021_05_12,sadness,0.4
404,2021_05_13,anger,0.4090909090909091
405,2021_05_13,disgust,0.2636363636363636
406,2021_05_13,fear,0.6090909090909091
407,2021_05_13,sadness,0.44545454545454544
408,2021_05_14,anger,0.48148148148148145
409,2021_05_14,disgust,0.28703703703703703
410,2021_05_14,fear,0.6944444444444444
411,2021_05_14,sadness,0.48148148148148145
412,2021_05_15,anger,0.2538860103626943
413,2021_05_15,disgust,0.17098445595854922
414,2021_05_15,fear,1.3937823834196892
415,2021_05_15,sadness,0.844559585492228
416,2021_05_16,anger,0.059895833333333336
417,2021_05_16,disgust,0.028645833333333332
418,2021_05_16,fear,1.8059895833333333
419,2021_05_16,sadness,0.9140625
420,2021_05_17,anger,0.2619047619047619
421,2021_05_17,disgust,0.20634920634920634
422,2021_05_17,fear,0.6666666666666666
423,2021_05_17,sadness,0.4523809523809524
424,2021_05_18,anger,1.2087912087912087
425,2021_05_18,disgust,0.23626373626373626
426,2021_05_18,fear,1.1703296703296704
427,2021_05_18,sadness,0.7582417582417582
428,2021_05_19,anger,0.6440677966101694
429,2021_05_19,disgust,0.19491525423728814
430,2021_05_19,fear,0.9915254237288136
431,2021_05_19,sadness,0.7288135593220338
432,2021_05_20,anger,0.8188976377952756
433,2021_05_20,disgust,0.41338582677165353
434,2021_05_20,fear,1.4251968503937007
435,2021_05_20,sadness,0.6811023622047244
436,2021_05_21,anger,0.44554455445544555
437,2021_05_21,disgust,0.22772277227722773
438,2021_05_21,fear,0.693069306930693
439,2021_05_21,sadness,0.5445544554455446
440,2021_05_22,anger,0.3380281690140845
441,2021_05_22,disgust,0.23943661971830985
442,2021_05_22,fear,0.6197183098591549
443,2021_05_22,sadness,0.4507042253521127
444,2021_05_23,anger,0.40625
445,2021_05_23,disgust,0.28125
446,2021_05_23,fear,0.5625
447,2021_05_23,sadness,0.390625
448,2021_05_24,anger,0.4074074074074074
449,2021_05_24,disgust,0.2037037037037037
450,2021_05_24,fear,0.7962962962962963
451,2021_05_24,sadness,0.4166666666666667
452,2021_05_25,anger,0.3023255813953488
453,2021_05_25,disgust,0.21705426356589147
454,2021_05_25,fear,0.5581395348837209
455,2021_05_25,sadness,0.37209302325581395
456,2021_05_26,anger,0.3148148148148148
457,2021_05_26,disgust,0.19444444444444445
458,2021_05_26,fear,0.4444444444444444
459,2021_05_26,sadness,0.3888888888888889
460,2021_05_27,anger,0.36082474226804123
461,2021_05_27,disgust,0.20618556701030927
462,2021_05_27,fear,0.6288659793814433
463,2021_05_27,sadness,0.5154639175257731
464,2021_05_28,anger,0.6190476190476191
465,2021_05_28,disgust,0.3333333333333333
466,2021_05_28,fear,0.9333333333333333
467,2021_05_28,sadness,0.6476190476190476
468,2021_05_29,anger,0.21359223300970873
469,2021_05_29,disgust,0.10679611650485436
470,2021_05_29,fear,0.36893203883495146
471,2021_05_29,sadness,0.27184466019417475
472,2021_05_30,anger,0.4782608695652174
473,2021_05_30,disgust,0.3333333333333333
474,2021_05_30,fear,0.7391304347826086
475,2021_05_30,sadness,0.5942028985507246
476,2021_05_31,anger,0.2692307692307692
477,2021_05_31,disgust,0.2564102564102564
478,2021_05_31,fear,0.46153846153846156
479,2021_05_31,sadness,0.4358974358974359
480,2021_06_01,anger,0.4166666666666667
481,2021_06_01,disgust,0.34523809523809523
482,2021_06_01,fear,0.6190476190476191
483,2021_06_01,sadness,0.5
484,2021_06_02,anger,0.4594594594594595
485,2021_06_02,disgust,0.27927927927927926
486,2021_06_02,fear,0.5315315315315315
487,2021_06_02,sadness,0.46846846846846846
488,2021_06_03,anger,0.3523809523809524
489,2021_06_03,disgust,0.23809523809523808
490,2021_06_03,fear,0.6952380952380952
491,2021_06_03,sadness,0.47619047619047616
492,2021_06_04,anger,0.2872340425531915
493,2021_06_04,disgust,0.23404255319148937
494,2021_06_04,fear,0.648936170212766
495,2021_06_04,sadness,0.5691489361702128
496,2021_06_05,anger,0.49382716049382713
497,2021_06_05,disgust,0.24691358024691357
498,2021_06_05,fear,0.6790123456790124
499,2021_06_05,sadness,0.5061728395061729
500,2021_06_06,anger,0.4634146341463415
501,2021_06_06,disgust,0.32926829268292684
502,2021_06_06,fear,0.6097560975609756
503,2021_06_06,sadness,0.5365853658536586
504,2021_06_07,anger,0.3333333333333333
505,2021_06_07,disgust,0.20588235294117646
506,2021_06_07,fear,0.4215686274509804
507,2021_06_07,sadness,0.3431372549019608
508,2021_06_08,anger,0.518796992481203
509,2021_06_08,disgust,0.42105263157894735
510,2021_06_08,fear,0.7443609022556391
511,2021_06_08,sadness,0.5789473684210527
512,2021_06_09,anger,0.4418604651162791
513,2021_06_09,disgust,0.22093023255813954
514,2021_06_09,fear,0.5930232558139535
515,2021_06_09,sadness,0.4186046511627907
516,2021_06_10,anger,0.4666666666666667
517,2021_06_10,disgust,0.23333333333333334
518,2021_06_10,fear,0.4666666666666667
519,2021_06_10,sadness,0.3
520,2021_06_11,anger,0.38961038961038963
521,2021_06_11,disgust,0.35064935064935066
522,2021_06_11,fear,0.6233766233766234
523,2021_06_11,sadness,0.4675324675324675
524,2021_06_12,anger,0.5757575757575758
525,2021_06_12,disgust,0.30303030303030304
526,2021_06_12,fear,0.7121212121212122
527,2021_06_12,sadness,0.5606060606060606
528,2021_06_13,anger,0.5517241379310345
529,2021_06_13,disgust,0.3448275862068966
530,2021_06_13,fear,0.7758620689655172
531,2021_06_13,sadness,0.6206896551724138
532,2021_06_14,anger,0.4307692307692308
533,2021_06_14,disgust,0.26153846153846155
534,2021_06_14,fear,0.6461538461538462
535,2021_06_14,sadness,0.5538461538461539
536,2021_06_15,anger,0.32941176470588235
537,2021_06_15,disgust,0.2
538,2021_06_15,fear,0.4823529411764706
539,2021_06_15,sadness,0.3176470588235294
540,2021_06_16,anger,0.3442622950819672
541,2021_06_16,disgust,0.2786885245901639
542,2021_06_16,fear,0.6311475409836066
543,2021_06_16,sadness,0.5983606557377049
544,2021_06_17,anger,0.23952095808383234
545,2021_06_17,disgust,0.09580838323353294
546,2021_06_17,fear,0.6586826347305389
547,2021_06_17,sadness,0.25748502994011974
548,2021_06_18,anger,0.43410852713178294
549,2021_06_18,disgust,0.2248062015503876
550,2021_06_18,fear,0.6201550387596899
551,2021_06_18,sadness,0.3953488372093023
552,2021_06_19,anger,0.3670886075949367
553,2021_06_19,disgust,0.16455696202531644
554,2021_06_19,fear,0.6455696202531646
555,2021_06_19,sadness,0.43037974683544306
556,2021_06_20,anger,0.2823529411764706
557,2021_06_20,disgust,0.18823529411764706
558,2021_06_20,fear,0.6
559,2021_06_20,sadness,0.5058823529411764
560,2021_06_21,anger,0.432258064516129
561,2021_06_21,disgust,0.2709677419354839
562,2021_06_21,fear,0.7483870967741936
563,2021_06_21,sadness,0.4645161290322581
564,2021_06_22,anger,0.4198895027624309
565,2021_06_22,disgust,0.23756906077348067
566,2021_06_22,fear,0.6022099447513812
567,2021_06_22,sadness,0.4198895027624309
568,2021_06_23,anger,0.34782608695652173
569,2021_06_23,disgust,0.2670807453416149
570,2021_06_23,fear,0.7080745341614907
571,2021_06_23,sadness,0.484472049689441
572,2021_06_24,anger,0.34415584415584416
573,2021_06_24,disgust,0.24025974025974026
574,2021_06_24,fear,0.6493506493506493
575,2021_06_24,sadness,0.4935064935064935
576,2021_06_25,anger,0.255
577,2021_06_25,disgust,0.195
578,2021_06_25,fear,0.46
579,2021_06_25,sadness,0.315
580,2021_06_26,anger,0.41605839416058393
581,2021_06_26,disgust,0.3284671532846715
582,2021_06_26,fear,0.7226277372262774
583,2021_06_26,sadness,0.48905109489051096
584,2021_06_27,anger,0.4899328859060403
585,2021_06_27,disgust,0.40268456375838924
586,2021_06_27,fear,0.8053691275167785
587,2021_06_27,sadness,0.6442953020134228
588,2021_06_28,anger,0.3308270676691729
589,2021_06_28,disgust,0.18045112781954886
590,2021_06_28,fear,0.5639097744360902
591,2021_06_28,sadness,0.45864661654135336
592,2021_06_29,anger,0.4228187919463087
593,2021_06_29,disgust,0.30201342281879195
594,2021_06_29,fear,0.6778523489932886
595,2021_06_29,sadness,0.48322147651006714
596,2021_06_30,anger,0.3300970873786408
597,2021_06_30,disgust,0.20388349514563106
598,2021_06_30,fear,0.5145631067961165
599,2021_06_30,sadness,0.4368932038834951
600,2021_07_01,anger,0.4146341463414634
601,2021_07_01,disgust,0.2926829268292683
602,2021_07_01,fear,0.7073170731707317
603,2021_07_01,sadness,0.47560975609756095
604,2021_07_02,anger,0.35454545454545455
605,2021_07_02,disgust,0.22727272727272727
606,2021_07_02,fear,0.6181818181818182
607,2021_07_02,sadness,0.42727272727272725
608,2021_07_03,anger,0.2653061224489796
609,2021_07_03,disgust,0.20408163265306123
610,2021_07_03,fear,0.4489795918367347
611,2021_07_03,sadness,0.3469387755102041
612,2021_07_04,anger,0.41904761904761906
613,2021_07_04,disgust,0.3238095238095238
614,2021_07_04,fear,0.7142857142857143
615,2021_07_04,sadness,0.5238095238095238
616,2021_07_05,anger,0.3953488372093023
617,2021_07_05,disgust,0.24806201550387597
618,2021_07_05,fear,0.7751937984496124
619,2021_07_05,sadness,0.4806201550387597
620,2021_07_06,anger,0.3111111111111111
621,2021_07_06,disgust,0.2074074074074074
622,2021_07_06,fear,0.6296296296296297
623,2021_07_06,sadness,0.5481481481481482
624,2021_07_07,anger,0.43333333333333335
625,2021_07_07,disgust,0.28
626,2021_07_07,fear,0.6666666666666666
627,2021_07_07,sadness,0.5
628,2021_07_08,anger,0.29310344827586204
629,2021_07_08,disgust,0.22413793103448276
630,2021_07_08,fear,0.5603448275862069
631,2021_07_08,sadness,0.4396551724137931
632,2021_07_09,anger,0.44680851063829785
633,2021_07_09,disgust,0.2695035460992908
634,2021_07_09,fear,0.6524822695035462
635,2021_07_09,sadness,0.5106382978723404
636,2021_07_10,anger,0.4594594594594595
637,2021_07_10,disgust,0.27927927927927926
638,2021_07_10,fear,0.8198198198198198
639,2021_07_10,sadness,0.6936936936936937
640,2021_07_11,anger,0.4380952380952381
641,2021_07_11,disgust,0.3619047619047619
642,2021_07_11,fear,0.780952380952381
643,2021_07_11,sadness,0.6095238095238096
644,2021_07_12,anger,0.4444444444444444
645,2021_07_12,disgust,0.2875816993464052
646,2021_07_12,fear,0.6078431372549019
647,2021_07_12,sadness,0.49019607843137253
648,2021_07_13,anger,0.4375
649,2021_07_13,disgust,0.25
650,2021_07_13,fear,0.6805555555555556
651,2021_07_13,sadness,0.5347222222222222
652,2021_07_14,anger,0.41228070175438597
653,2021_07_14,disgust,0.23684210526315788
654,2021_07_14,fear,0.631578947368421
655,2021_07_14,sadness,0.543859649122807
656,2021_07_15,anger,0.4036697247706422
657,2021_07_15,disgust,0.22018348623853212
658,2021_07_15,fear,0.6972477064220184
659,2021_07_15,sadness,0.5045871559633027
660,2021_07_16,anger,0.2805755395683453
661,2021_07_16,disgust,0.18705035971223022
662,2021_07_16,fear,0.60431654676259
663,2021_07_16,sadness,0.38848920863309355
664,2021_07_17,anger,0.4583333333333333
665,2021_07_17,disgust,0.3472222222222222
666,2021_07_17,fear,0.5625
667,2021_07_17,sadness,0.4166666666666667
668,2021_07_18,anger,0.32967032967032966
